Fecha,flow,Site,Device,Loading,Shipping,Payments,Review,Congrats
2019-03-07,cart,MLA,Desktop,0,7223,5634,4905,4775
2019-03-07,cart,MLA,Mobile,0,2986,2221,1580,1494
2019-03-07,cart,MLA,iOS,0,1627,1207,936,898
2019-03-07,direct,MLA,Android,197800,188350,154081,108500,101511
2019-03-07,direct,MLA,Desktop,127119,120994,105296,82652,80449
2019-03-07,direct,MLA,Mobile,85075,80186,62852,42868,40172
2019-03-07,direct,MLA,iOS,38559,36189,30675,23484,22048
2019-03-07,direct,MLC,Desktop,18599,18405,15732,13026,12323
2019-03-07,direct,MLC,Mobile,16179,16038,12165,9296,8180
2019-03-07,direct,MLU,Desktop,1875,1843,1627,1354,1329
2019-03-07,direct,MLU,Mobile,2368,2326,1923,1516,1446
2019-03-08,cart,MLA,Android,0,7920,5959,4438,4145
2019-03-08,cart,MLA,Desktop,0,6487,5133,4487,4384
2019-03-08,cart,MLA,Mobile,0,2683,2025,1411,1360
2019-03-08,cart,MLA,iOS,0,1373,993,784,734
2019-03-08,direct,MLA,Android,178632,170334,140605,100134,93816
2019-03-08,direct,MLA,Desktop,114283,108905,94298,74356,72480
2019-03-08,direct,MLA,Mobile,75925,71967,56523,38341,36050
2019-03-08,direct,MLA,iOS,31933,29934,25493,19697,18437
2019-03-08,direct,MLC,Desktop,14452,14272,12056,9836,9294
2019-03-08,direct,MLC,Mobile,13501,13367,10042,7581,6661
2019-03-08,direct,MLU,Desktop,1696,1663,1430,1169,1131
2019-03-08,direct,MLU,Mobile,2217,2163,1806,1455,1381
2019-03-09,cart,MLA,Android,0,6595,4939,3639,3425
2019-03-09,cart,MLA,Desktop,0,3673,2889,2485,2428
2019-03-09,cart,MLA,Mobile,0,2424,1803,1243,1164
2019-03-09,cart,MLA,iOS,0,1071,779,613,561
2019-03-09,direct,MLA,Android,152548,145008,116251,77668,72221
2019-03-09,direct,MLA,Desktop,65979,62629,53197,39357,38163
2019-03-09,direct,MLA,Mobile,69397,65453,51084,33534,30990
2019-03-09,direct,MLA,iOS,26746,24886,20775,15138,14133
2019-03-09,direct,MLC,Desktop,8213,8120,6872,5635,5344
2019-03-09,direct,MLC,Mobile,14315,14161,10574,7827,6809
2019-03-09,direct,MLU,Desktop,829,819,705,573,567
2019-03-09,direct,MLU,Mobile,1738,1701,1415,1045,989
2019-03-10,cart,MLA,Android,0,6798,5018,3603,3348
2019-03-10,cart,MLA,Desktop,0,3405,2647,2282,2217
2019-03-10,cart,MLA,Mobile,0,2511,1897,1276,1213
2019-03-10,cart,MLA,iOS,0,1182,907,700,655
2019-03-10,direct,MLA,Android,147254,139446,110206,71467,66497
2019-03-10,direct,MLA,Desktop,60031,57036,48398,36054,34450
2019-03-10,direct,MLA,Mobile,69093,64706,49408,31654,28924
2019-03-10,direct,MLA,iOS,27120,25129,20725,14866,13804
2019-03-10,direct,MLC,Desktop,9090,9001,7696,6338,5930
2019-03-10,direct,MLC,Mobile,15061,14890,11121,8261,6996
2019-03-10,direct,MLU,Desktop,877,861,760,609,579
2019-03-10,direct,MLU,Mobile,1642,1554,1297,951,890
2019-03-11,cart,MLA,Android,0,9237,6897,5167,4822
2019-03-11,cart,MLA,Desktop,0,7617,6019,5218,5112
2019-03-11,cart,MLA,Mobile,0,3150,2354,1746,1672
2019-03-11,cart,MLA,iOS,0,1749,1315,1042,972
2019-03-11,direct,MLA,Android,210254,201211,164676,116064,107458
2019-03-11,direct,MLA,Desktop,145780,139156,120546,92781,89083
2019-03-11,direct,MLA,Mobile,94089,89404,70635,48070,44424
2019-03-11,direct,MLA,iOS,41850,39331,33359,25578,23666
2019-03-11,direct,MLC,Desktop,20343,20070,17357,14376,13447
2019-03-11,direct,MLC,Mobile,16361,16231,12473,9567,8449
2019-03-11,direct,MLU,Desktop,2713,2679,2389,1936,1843
2019-03-11,direct,MLU,Mobile,3313,3284,2763,2200,2051
2019-03-12,cart,MLA,Android,0,9064,6773,5034,4719
2019-03-12,cart,MLA,Desktop,0,7531,5880,5079,4946
2019-03-12,cart,MLA,Mobile,0,3117,2356,1706,1618
2019-03-12,cart,MLA,iOS,0,1812,1321,1026,943
2019-03-12,direct,MLA,Android,207878,198928,162824,112852,105321
2019-03-12,direct,MLA,Desktop,138933,132318,114125,87582,85159
2019-03-12,direct,MLA,Mobile,93178,88281,69521,46522,43212
2019-03-12,direct,MLA,iOS,40834,38197,32315,24451,22780
2019-03-12,direct,MLC,Desktop,19063,18887,16307,13490,12831
2019-03-12,direct,MLC,Mobile,15754,15519,11893,9105,7959
2019-03-12,direct,MLU,Desktop,3028,2998,2660,2163,2116
2019-03-12,direct,MLU,Mobile,3439,3374,2820,2150,2030
2019-03-13,cart,MLA,Android,0,8755,6496,4777,4491
2019-03-13,cart,MLA,Desktop,0,7201,5652,4921,4795
2019-03-13,cart,MLA,Mobile,0,2925,2237,1555,1477
2019-03-13,cart,MLA,iOS,0,1598,1193,892,838
2019-03-13,direct,MLA,Android,199452,189829,154899,107623,101071
2019-03-13,direct,MLA,Desktop,137014,130478,112359,85941,83458
2019-03-13,direct,MLA,Mobile,88947,83813,65415,43248,39969
2019-03-13,direct,MLA,iOS,38736,36315,30823,23563,21988
2019-03-13,direct,MLC,Desktop,18555,18349,15630,12894,12260
2019-03-13,direct,MLC,Mobile,16433,16162,12319,9320,8185
2019-03-13,direct,MLU,Desktop,8811,8729,7713,6171,5987
2019-03-13,direct,MLU,Mobile,10218,9964,8299,6415,6096
2019-03-14,cart,MLA,Android,0,8301,6147,4539,4282
2019-03-14,cart,MLA,Desktop,0,6708,5142,4458,4347
2019-03-14,cart,MLA,Mobile,0,2795,2064,1485,1393
2019-03-14,cart,MLA,iOS,0,1519,1103,862,802
2019-03-14,direct,MLA,Android,188713,179524,146241,100958,94906
2019-03-14,direct,MLA,Desktop,124462,118238,101998,78469,76246
2019-03-14,direct,MLA,Mobile,83253,78406,61023,40474,37553
2019-03-14,direct,MLA,iOS,35832,33449,28301,21272,19994
2019-03-14,direct,MLC,Desktop,17329,17108,14400,11843,11231
2019-03-14,direct,MLC,Mobile,15567,15439,11611,8686,7608
2019-03-14,direct,MLU,Desktop,8068,7992,7095,5653,5508
2019-03-14,direct,MLU,Mobile,10098,9941,8355,6499,6182
2019-03-15,cart,MLA,Android,0,7446,5504,3961,3686
2019-03-15,cart,MLA,Desktop,0,5873,4575,3916,3812
2019-03-15,cart,MLA,Mobile,0,2475,1891,1337,1243
2019-03-15,cart,MLA,iOS,0,1326,972,711,662
2019-03-15,direct,MLA,Android,171518,162948,131581,90138,84312
2019-03-15,direct,MLA,Desktop,110786,104932,90862,69928,67856
2019-03-15,direct,MLA,Mobile,76653,71942,55837,36585,33647
2019-03-15,direct,MLA,iOS,31406,29253,24717,18925,17769
2019-03-15,direct,MLC,Desktop,13792,13618,11472,9331,8684
2019-03-15,direct,MLC,Mobile,14267,14065,10520,7957,6870
2019-03-15,direct,MLU,Desktop,7049,6944,6102,4851,4657
2019-03-15,direct,MLU,Mobile,8990,8801,7364,5659,5331
2019-03-16,cart,MLA,Android,0,6485,4750,3385,3133
2019-03-16,cart,MLA,Desktop,0,3551,2782,2327,2221
2019-03-16,cart,MLA,Mobile,0,2381,1746,1135,1047
2019-03-16,cart,MLA,iOS,0,1112,815,585,531
2019-03-16,direct,MLA,Android,148683,139683,111610,72558,64830
2019-03-16,direct,MLA,Desktop,64729,60811,51206,37186,34707
2019-03-16,direct,MLA,Mobile,68781,64360,50106,31906,27716
2019-03-16,direct,MLA,iOS,26064,23677,19665,14054,13032
2019-03-16,direct,MLC,Desktop,8235,8159,6787,5483,4928
2019-03-16,direct,MLC,Mobile,13584,13410,10029,7414,6076
2019-03-16,direct,MLU,Desktop,3599,3538,3047,2349,2215
2019-03-16,direct,MLU,Mobile,6587,6432,5241,3969,3630
2019-03-17,cart,MLA,Android,0,6721,4865,3315,3092
2019-03-17,cart,MLA,Desktop,0,3256,2574,2163,2116
2019-03-17,cart,MLA,Mobile,0,2338,1751,1159,1103
2019-03-17,cart,MLA,iOS,0,1274,977,721,669
2019-03-17,direct,MLA,Android,149349,140059,109656,68058,63072
2019-03-17,direct,MLA,Desktop,59070,55953,46738,33809,32661
2019-03-17,direct,MLA,Mobile,68736,64751,48873,30034,27676
2019-03-17,direct,MLA,iOS,27613,25234,20793,14650,13568
2019-03-17,direct,MLC,Desktop,9248,9170,7801,6386,6039
2019-03-17,direct,MLC,Mobile,15172,14973,11134,8224,7106
2019-03-17,direct,MLU,Desktop,3662,3616,3137,2492,2402
2019-03-17,direct,MLU,Mobile,6780,6602,5378,4032,3788
2019-03-18,cart,MLA,Android,0,9419,7038,5234,4917
2019-03-18,cart,MLA,Desktop,0,7288,5610,4917,4795
2019-03-18,cart,MLA,Mobile,0,2968,2253,1630,1535
2019-03-18,cart,MLA,iOS,0,1643,1182,928,869
2019-03-18,direct,MLA,Android,203925,193411,157539,110691,103888
2019-03-18,direct,MLA,Desktop,136755,130345,112453,87517,85116
2019-03-18,direct,MLA,Mobile,91216,86005,67555,45300,41851
2019-03-18,direct,MLA,iOS,40365,37634,32050,24681,23049
2019-03-18,direct,MLC,Desktop,20057,19814,16817,13822,13078
2019-03-18,direct,MLC,Mobile,17240,17114,12939,9849,8621
2019-03-18,direct,MLU,Desktop,8767,8660,7644,6157,5985
2019-03-18,direct,MLU,Mobile,10796,10596,8857,6902,6510
2019-03-19,cart,MLA,Android,0,8872,6579,4757,4438
2019-03-19,cart,MLA,Desktop,0,7360,5729,4950,4856
2019-03-19,cart,MLA,Mobile,0,2910,2233,1585,1504
2019-03-19,cart,MLA,iOS,0,1630,1186,928,860
2019-03-19,direct,MLA,Android,199265,188937,152940,106077,99631
2019-03-19,direct,MLA,Desktop,129639,122929,105474,81806,79306
2019-03-19,direct,MLA,Mobile,86472,81172,63428,41999,38966
2019-03-19,direct,MLA,iOS,38709,36005,30513,23320,21785
2019-03-19,direct,MLC,Desktop,19393,19193,16350,13473,12781
2019-03-19,direct,MLC,Mobile,16390,16216,12375,9383,8200
2019-03-19,direct,MLU,Desktop,8521,8410,7392,5930,5737
2019-03-19,direct,MLU,Mobile,10101,9708,8032,6209,5888
2019-03-20,cart,MLA,Android,0,8508,6274,4480,4183
2019-03-20,cart,MLA,Desktop,0,6888,5445,4725,4584
2019-03-20,cart,MLA,Mobile,0,2838,2163,1539,1470
2019-03-20,cart,MLA,iOS,0,1564,1152,878,835
2019-03-20,direct,MLA,Android,189730,180124,145735,100796,94386
2019-03-20,direct,MLA,Desktop,124720,118387,101433,78742,74813
2019-03-20,direct,MLA,Mobile,82742,78591,60870,40024,35935
2019-03-20,direct,MLA,iOS,36201,33670,28548,21763,20251
2019-03-20,direct,MLC,Desktop,19291,19082,16403,13454,12293
2019-03-20,direct,MLC,Mobile,16502,16311,12423,9220,7840
2019-03-20,direct,MLU,Desktop,8017,7904,6948,5565,5384
2019-03-20,direct,MLU,Mobile,9578,9332,7858,6024,5604
2019-03-21,cart,MLA,Android,0,8253,6003,4228,3960
2019-03-21,cart,MLA,Desktop,0,6561,5112,4424,4316
2019-03-21,cart,MLA,Mobile,0,2755,2046,1416,1341
2019-03-21,cart,MLA,iOS,0,1384,1033,810,750
2019-03-21,direct,MLA,Android,186188,176445,142929,98056,92016
2019-03-21,direct,MLA,Desktop,120535,114390,98262,75727,73501
2019-03-21,direct,MLA,Mobile,82117,77574,60366,39848,37085
2019-03-21,direct,MLA,iOS,35112,32724,27599,20836,19450
2019-03-21,direct,MLC,Desktop,18000,17807,14990,12130,11492
2019-03-21,direct,MLC,Mobile,15270,15101,11440,8699,7553
2019-03-21,direct,MLU,Desktop,7385,7287,6398,5168,4998
2019-03-21,direct,MLU,Mobile,9271,9004,7486,5758,5422
2019-03-22,cart,MLA,Android,0,7990,5907,4329,4044
2019-03-22,cart,MLA,Desktop,0,6525,5101,4476,4302
2019-03-22,cart,MLA,Mobile,0,2665,1938,1378,1288
2019-03-22,cart,MLA,iOS,0,1436,1045,808,763
2019-03-22,direct,MLA,Android,179146,169846,138177,96012,89890
2019-03-22,direct,MLA,Desktop,112147,106408,91762,72190,70180
2019-03-22,direct,MLA,Mobile,74469,69958,54943,36732,34146
2019-03-22,direct,MLA,iOS,32520,30281,25882,19881,18718
2019-03-22,direct,MLC,Desktop,14591,14428,12195,9919,9430
2019-03-22,direct,MLC,Mobile,14072,13909,10459,7868,6883
2019-03-22,direct,MLU,Desktop,6407,6295,5506,4405,4281
2019-03-22,direct,MLU,Mobile,8345,8093,6743,5178,4855
2019-03-23,cart,MLA,Android,0,6204,4429,3186,2935
2019-03-23,cart,MLA,Desktop,0,3409,2689,2300,2228
2019-03-23,cart,MLA,Mobile,0,2201,1684,1139,1080
2019-03-23,cart,MLA,iOS,0,977,730,570,525
2019-03-23,direct,MLA,Android,139773,131614,105022,69067,64625
2019-03-23,direct,MLA,Desktop,58743,55454,46819,34916,33805
2019-03-23,direct,MLA,Mobile,62289,58312,45277,28807,26544
2019-03-23,direct,MLA,iOS,24355,22451,18714,13559,12637
2019-03-23,direct,MLC,Desktop,8100,7979,6716,5390,5058
2019-03-23,direct,MLC,Mobile,14211,13985,10470,7705,6685
2019-03-23,direct,MLU,Desktop,3036,2979,2570,1953,1873
2019-03-23,direct,MLU,Mobile,6134,6014,4924,3765,3538
2019-03-24,cart,MLA,Android,0,6366,4669,3274,3027
2019-03-24,cart,MLA,Desktop,0,3141,2476,2061,2014
2019-03-24,cart,MLA,Mobile,0,2304,1699,1116,1060
2019-03-24,cart,MLA,iOS,0,1060,795,613,550
2019-03-24,direct,MLA,Android,141377,132244,103739,65768,60912
2019-03-24,direct,MLA,Desktop,57360,54268,45505,33631,32571
2019-03-24,direct,MLA,Mobile,63707,59839,45039,27676,25466
2019-03-24,direct,MLA,iOS,25749,23679,19377,13716,12546
2019-03-24,direct,MLC,Desktop,9524,9446,8026,6570,6219
2019-03-24,direct,MLC,Mobile,15684,15515,11518,8608,7438
2019-03-24,direct,MLU,Desktop,3213,3147,2723,2060,1969
2019-03-24,direct,MLU,Mobile,5596,5434,4462,3307,3112
2019-03-25,cart,MLA,Android,0,10110,7689,5772,5398
2019-03-25,cart,MLA,Desktop,0,8067,6361,5556,5436
2019-03-25,cart,MLA,Mobile,0,3391,2610,1902,1812
2019-03-25,cart,MLA,iOS,0,1623,1216,968,914
2019-03-25,direct,MLA,Android,219112,207649,170091,119611,112363
2019-03-25,direct,MLA,Desktop,142491,135531,116884,91657,89125
2019-03-25,direct,MLA,Mobile,93475,87696,68691,46377,42926
2019-03-25,direct,MLA,iOS,41594,38844,33309,25655,24051
2019-03-25,direct,MLC,Desktop,22761,22568,19111,15608,14805
2019-03-25,direct,MLC,Mobile,19560,19332,14690,11036,9673
2019-03-25,direct,MLU,Desktop,8049,7940,7003,5680,5544
2019-03-25,direct,MLU,Mobile,9353,9114,7599,5991,5661
2019-03-26,cart,MLA,Android,0,9484,7182,5236,4903
2019-03-26,cart,MLA,Desktop,0,7545,5920,5142,4978
2019-03-26,cart,MLA,Mobile,0,3173,2451,1719,1616
2019-03-26,cart,MLA,iOS,0,1711,1263,995,914
2019-03-26,direct,MLA,Android,202728,191901,157368,109666,103064
2019-03-26,direct,MLA,Desktop,132316,125478,108064,83548,81370
2019-03-26,direct,MLA,Mobile,89605,84360,66603,43959,40494
2019-03-26,direct,MLA,iOS,38484,35807,30391,23315,21720
2019-03-26,direct,MLC,Desktop,20914,20688,17600,14532,13703
2019-03-26,direct,MLC,Mobile,18056,17846,13586,10188,8910
2019-03-26,direct,MLU,Desktop,7360,7280,6400,5176,5004
2019-03-26,direct,MLU,Mobile,8767,8557,7133,5539,5182
2019-03-27,cart,MLA,Android,0,9255,6804,5031,4717
2019-03-27,cart,MLA,Desktop,0,7608,6006,5238,5124
2019-03-27,cart,MLA,Mobile,0,3117,2358,1692,1630
2019-03-27,cart,MLA,iOS,0,1582,1153,892,844
2019-03-27,direct,MLA,Android,201470,191273,156504,108532,101575
2019-03-27,direct,MLA,Desktop,133696,127027,109855,85269,82618
2019-03-27,direct,MLA,Mobile,86212,81019,63073,42289,38934
2019-03-27,direct,MLA,iOS,37405,34992,29836,22795,21310
2019-03-27,direct,MLC,Desktop,20337,20141,17101,14065,13330
2019-03-27,direct,MLC,Mobile,18110,17930,13603,10199,8946
2019-03-27,direct,MLU,Desktop,7314,7221,6356,5103,4958
2019-03-27,direct,MLU,Mobile,8393,8139,6732,5187,4859
2019-03-28,cart,MLA,Android,0,8926,6679,4856,4489
2019-03-28,cart,MLA,Desktop,0,7034,5562,4771,4654
2019-03-28,cart,MLA,Mobile,0,2881,2199,1542,1470
2019-03-28,cart,MLA,iOS,0,1483,1116,874,817
2019-03-28,direct,MLA,Android,190996,181274,148150,102202,96242
2019-03-28,direct,MLA,Desktop,123904,117262,101278,78627,76485
2019-03-28,direct,MLA,Mobile,81792,76311,59479,39241,36489
2019-03-28,direct,MLA,iOS,35267,32848,27946,21312,19944
2019-03-28,direct,MLC,Android,21561,19924,14632,11292,10491
2019-03-28,direct,MLC,Desktop,19258,19048,15956,12963,12251
2019-03-28,direct,MLC,Mobile,19221,18855,14118,10405,9124
2019-03-28,direct,MLC,iOS,6162,5429,4335,3428,3122
2019-03-28,direct,MLU,Android,14475,13668,11067,9074,8643
2019-03-28,direct,MLU,Desktop,6646,6459,5718,4666,4500
2019-03-28,direct,MLU,Mobile,8211,7728,6537,4979,4725
2019-03-28,direct,MLU,iOS,4840,4525,3941,3145,2944
2019-03-29,cart,MLA,Android,0,8325,6267,4725,4354
2019-03-29,cart,MLA,Desktop,0,6501,5302,4602,4496
2019-03-29,cart,MLA,Mobile,0,2534,1888,1342,1281
2019-03-29,cart,MLA,iOS,0,1315,1024,810,747
2019-03-29,direct,MLA,Android,184239,174407,142133,99538,93767
2019-03-29,direct,MLA,Desktop,112168,106538,91569,72790,70914
2019-03-29,direct,MLA,Mobile,75261,71069,55263,37317,34756
2019-03-29,direct,MLA,iOS,32448,30285,25644,19827,18739
2019-03-29,direct,MLC,Android,20860,20879,15535,11839,10908
2019-03-29,direct,MLC,Desktop,16726,16548,13942,11359,10741
2019-03-29,direct,MLC,Mobile,17895,17657,13197,9856,8688
2019-03-29,direct,MLC,iOS,5468,5294,4251,3346,3077
2019-03-29,direct,MLU,Android,13645,13683,11004,8803,8452
2019-03-29,direct,MLU,Desktop,6058,5934,5208,4088,3969
2019-03-29,direct,MLU,Mobile,7350,6980,5831,4584,4353
2019-03-29,direct,MLU,iOS,4643,4489,3885,3129,2967
2019-03-30,cart,MLA,Android,0,6643,4914,3583,3310
2019-03-30,cart,MLA,Desktop,0,3493,2811,2390,2316
2019-03-30,cart,MLA,Mobile,0,2390,1810,1242,1170
2019-03-30,cart,MLA,iOS,0,1031,779,619,563
2019-03-30,direct,MLA,Android,146793,138515,111411,74188,69148
2019-03-30,direct,MLA,Desktop,60874,57537,48679,36289,35110
2019-03-30,direct,MLA,Mobile,65838,61731,47487,30684,28157
2019-03-30,direct,MLA,iOS,24906,22982,19123,13977,12960
2019-03-30,direct,MLC,Android,19649,19629,14389,10858,9951
2019-03-30,direct,MLC,Desktop,10298,10185,8528,6894,6499
2019-03-30,direct,MLC,Mobile,18069,17878,13187,9745,8445
2019-03-30,direct,MLC,iOS,5383,5149,4151,3189,2881
2019-03-30,direct,MLU,Android,10359,10350,7820,6077,5772
2019-03-30,direct,MLU,Desktop,3005,2969,2562,2003,1925
2019-03-30,direct,MLU,Mobile,5943,5777,4823,3681,3496
2019-03-30,direct,MLU,iOS,3217,3093,2622,2097,1965
2019-03-31,cart,MLA,Android,0,6962,5115,3576,3299
2019-03-31,cart,MLA,Desktop,0,3511,2775,2331,2259
2019-03-31,cart,MLA,Mobile,0,2467,1908,1333,1247
2019-03-31,cart,MLA,iOS,0,1137,867,680,640
2019-03-31,direct,MLA,Android,147794,138843,108853,70225,65343
2019-03-31,direct,MLA,Desktop,59013,55794,46863,34837,33742
2019-03-31,direct,MLA,Mobile,67986,63556,48097,29532,27111
2019-03-31,direct,MLA,iOS,26227,24141,19931,14320,13276
2019-03-31,direct,MLC,Android,21849,21923,15804,11780,10754
2019-03-31,direct,MLC,Desktop,11683,11579,9827,8035,7586
2019-03-31,direct,MLC,Mobile,20497,20248,15166,11177,9734
2019-03-31,direct,MLC,iOS,6138,5889,4682,3665,3322
2019-03-31,direct,MLU,Android,10063,10077,7520,5758,5420
2019-03-31,direct,MLU,Desktop,3032,2973,2536,1953,1879
2019-03-31,direct,MLU,Mobile,5867,5697,4657,3635,3450
2019-03-31,direct,MLU,iOS,2998,2891,2438,1856,1726
2019-04-01,cart,MLA,Android,0,9439,7084,5351,5011
2019-04-01,cart,MLA,Desktop,0,7225,5671,4897,4755
2019-04-01,cart,MLA,Mobile,0,3249,2467,1765,1665
2019-04-01,cart,MLA,iOS,0,1564,1195,946,885
2019-04-01,direct,MLA,Android,207158,196277,160381,113767,107008
2019-04-01,direct,MLA,Desktop,128457,122079,105881,83493,81079
2019-04-01,direct,MLA,Mobile,88304,83055,64909,44281,41308
2019-04-01,direct,MLA,iOS,37692,35080,29872,23103,21632
2019-04-01,direct,MLC,Android,29071,29112,21921,16919,15671
2019-04-01,direct,MLC,Desktop,25582,25425,21728,17978,17077
2019-04-01,direct,MLC,Mobile,25156,24952,18720,14341,12620
2019-04-01,direct,MLC,iOS,8117,7809,6301,5110,4687
2019-04-01,direct,MLU,Android,17818,17868,14492,11753,11251
2019-04-01,direct,MLU,Desktop,7805,7721,6869,5512,5367
2019-04-01,direct,MLU,Mobile,10071,9880,8265,6514,6146
2019-04-01,direct,MLU,iOS,6148,5951,5159,4162,3914
2019-04-02,cart,MLA,Android,0,8231,5979,4239,3916
2019-04-02,cart,MLA,Desktop,0,4505,3601,3034,2959
2019-04-02,cart,MLA,Mobile,0,3205,2345,1630,1562
2019-04-02,cart,MLA,iOS,0,1481,1146,901,840
2019-04-02,direct,MLA,Android,173781,163868,131671,86893,80812
2019-04-02,direct,MLA,Desktop,76595,72450,61524,46305,44829
2019-04-02,direct,MLA,Mobile,79128,73823,56829,36383,33645
2019-04-02,direct,MLA,iOS,32092,29626,24723,18104,16792
2019-04-02,direct,MLC,Android,26374,26478,19668,15190,14200
2019-04-02,direct,MLC,Desktop,24204,24019,20432,16928,16044
2019-04-02,direct,MLC,Mobile,23357,23140,17444,13210,11655
2019-04-02,direct,MLC,iOS,7271,7002,5663,4672,4246
2019-04-02,direct,MLU,Android,16913,16951,13584,11062,10537
2019-04-02,direct,MLU,Desktop,7606,7511,6694,5424,5268
2019-04-02,direct,MLU,Mobile,9300,9189,7551,5896,5537
2019-04-02,direct,MLU,iOS,5817,5655,4890,3916,3685
2019-04-03,cart,MLA,Android,0,9842,7345,5509,5148
2019-04-03,cart,MLA,Desktop,0,7691,6084,5263,5140
2019-04-03,cart,MLA,Mobile,0,3340,2455,1706,1645
2019-04-03,cart,MLA,iOS,0,1850,1391,1094,1022
